iter	Passed	Remaining
0	17	17864
1	63	31575
2	82	27357
3	101	25239
4	130	25893
5	146	24282
6	153	21755
7	172	21356
8	209	23065
9	244	24169
10	261	23491
11	280	23069
12	290	22057
13	314	22163
14	343	22540
15	352	21706
16	376	21778
17	396	21621
18	407	21020
19	416	20426
20	435	20299
21	454	20195
22	482	20514
23	514	20928
24	561	21882
25	583	21852
26	610	21984
27	631	21921
28	658	22043
29	676	21887
30	704	22013
31	710	21489
32	730	21398
33	767	21804
34	798	22020
35	817	21879
36	832	21680
37	851	21547
38	875	21570
39	905	21727
40	937	21935
41	971	22148
42	1003	22339
43	1028	22342
44	1059	22479
45	1112	23076
46	1141	23137
47	1179	23386
48	1193	23165
49	1216	23106
50	1251	23281
51	1281	23364
52	1288	23014
53	1346	23588
54	1371	23570
55	1399	23596
56	1446	23922
57	1462	23750
58	1476	23550
59	1498	23481
60	1530	23554
61	1557	23567
62	1589	23647
63	1609	23534
64	1640	23595
65	1674	23692
66	1689	23533
67	1696	23245
68	1728	23328
69	1762	23418
70	1796	23507
71	1824	23518
72	1859	23607
73	1887	23616
74	1906	23508
75	1918	23325
76	1937	23222
77	1960	23168
78	1978	23068
79	1985	22837
80	1992	22604
81	2013	22544
82	2036	22497
83	2055	22418
84	2082	22421
85	2114	22472
86	2133	22394
87	2163	22420
88	2206	22590
89	2234	22588
90	2242	22400
91	2260	22310
92	2286	22295
93	2300	22177
94	2339	22285
95	2379	22405
96	2410	22443
97	2421	22285
98	2444	22250
99	2475	22280
100	2494	22203
101	2518	22169
102	2552	22229
103	2584	22263
104	2618	22319
105	2634	22217
106	2655	22164
107	2674	22086
108	2710	22156
109	2738	22159
110	2757	22085
111	2782	22062
112	2813	22083
113	2846	22122
114	2878	22148
115	2896	22074
116	2915	22000
117	2933	21929
118	2952	21859
119	2992	21943
120	2996	21765
121	3019	21730
122	3045	21713
123	3068	21677
124	3086	21607
125	3107	21557
126	3128	21502
127	3139	21388
128	3174	21431
129	3178	21270
130	3195	21194
131	3216	21154
132	3240	21126
133	3267	21115
134	3295	21113
135	3310	21028
136	3329	20970
137	3345	20895
138	3352	20763
139	3388	20816
140	3397	20698
141	3419	20663
142	3451	20687
143	3475	20661
144	3515	20727
145	3534	20673
146	3565	20687
147	3583	20629
148	3607	20603
149	3626	20548
150	3645	20495
151	3669	20469
152	3688	20417
153	3708	20370
154	3733	20356
155	3756	20321
156	3778	20289
157	3796	20230
158	3824	20228
159	3872	20333
160	3905	20350
161	3937	20369
162	3960	20335
163	3997	20377
164	4037	20431
165	4059	20395
166	4096	20434
167	4119	20400
168	4155	20430
169	4187	20446
170	4216	20443
171	4269	20554
172	4290	20511
173	4314	20480
174	4336	20441
175	4375	20483
176	4398	20450
177	4418	20403
178	4456	20439
179	4479	20405
180	4500	20363
181	4521	20320
182	4543	20286
183	4570	20270
184	4590	20222
185	4621	20223
186	4640	20175
187	4661	20134
188	4683	20098
189	4710	20080
190	4738	20071
191	4785	20139
192	4810	20114
193	4847	20137
194	4882	20156
195	4912	20152
196	4943	20152
197	4975	20152
198	4996	20112
199	5022	20090
200	5052	20085
201	5082	20080
202	5112	20071
203	5139	20054
204	5158	20004
205	5186	19989
206	5209	19955
207	5234	19929
208	5253	19881
209	5287	19891
210	5318	19889
211	5327	19803
